bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
100,105,100,-0.1,0.25,0,Null
100,104,100,-0.099,0.15,0.25,Null
100,107,100,-0.148,0.45,0.15,Null
100,108,100,-0.197,0.5,0.45,Null
100,108,100,-0.194,0.5,0.5,Null
100,108,100.00134620256937,-0.191,0.5,0.5,Null
100.01,110,100.00597030556196,-0.238,0.7,0.5,Null
100.02,107,100.01612772168818,-0.183,0.45,0.7,Null
100.03,109,100.03425577524993,-0.229,0.6,0.45,Null
100.06,109,100.06286028856337,-0.224,0.6,0.6,Null
100.1,109,100.10416388016425,-0.218,0.6,0.6,Null
100.16,108,100.16043708480944,-0.212,0.5,0.6,Null
100.23,110,100.23372001638796,-0.255,0.7,0.5,Null
100.33,107,100.32581370645276,-0.198,0.45,0.7,Null
100.44,109,100.43827818242184,-0.241,0.6,0.45,Null
100.57,110,100.57256761794862,-0.234,0.6,0.6,Null
100.73,109,100.7297386775321,-0.226,0.6,0.6,Null
100.91,110,100.91083245910956,-0.218,0.7,0.6,row_28
101.12,110,101.11663511099415,-0.21,0.7,0.7,Null
101.35,109,101.34770008955832,-0.201,0.6,0.7,Null
101.6,112,101.60436992849893,-0.243,0.6,0.6,Null
101.89,111,101.8866638756149,-0.234,0.6,0.6,Null
102.19,111,102.19433227980127,-0.225,0.7,0.6,row_28
102.53,111,102.5270377578605,-0.215,0.7,0.7,Null
102.88,111,102.88436150698918,-0.206,0.7,0.7,Null
103.27,112,103.26581003394328,-0.196,0.7,0.7,Null
103.67,112,103.67068655373964,-0.187,0.7,0.7,Null
104.1,112,104.09813204262022,-0.178,0.7,0.7,Null
104.55,112,104.54716019090918,-0.169,0.7,0.7,Null
105.02,112,105.01668707889621,-0.16,0.7,0.7,Null
105.51,113,105.50555630139164,-0.151,0.7,0.7,Null
106.01,113,106.01256017676668,-0.142,0.8,0.7,row_28
106.54,111,106.53645759474986,-0.084,0.8,0.8,Null
107.08,112,107.07598898410336,-0.076,0.8,0.8,Null
107.63,112,107.62988881630756,-0.069,0.8,0.8,Null
108.2,113,108.19675475564188,-0.054,0.8,0.8,Null
108.78,113,108.77509061113702,-0.048,0.8,0.8,Null
109.36,113,109.36334208275495,-0.041,0.85,0.8,row_28
109.96,112,109.95992637427429,0.006,0.85,0.85,Null
110.56,113,110.56325659137242,0.019,0.85,0.85,Null
111.17,111,111.17176170904712,0.073,0.75,0.85,Null
111.78,114,111.78382982803089,0.02,0.75,0.75,Null
112.4,114,112.39783872865308,0.023,0.9,0.75,row_28
113.01,113,113.01218093203705,0.076,0.7,0.9,Null
113.63,115,113.62543238871889,0.036,0.9,0.7,Null
114.24,113,114.23633324872556,0.087,0.9,0.9,Null
114.84,115,114.84354589898598,0.088,0.9,0.9,Null
115.45,113,115.44599519083546,0.134,0.85,0.9,Null
116.04,114,116.04252510574513,0.135,0.8,0.85,Null
116.63,115,116.6319366593006,0.136,0.8,0.8,Null
117.21,115,117.21301930535611,0.142,0.8,0.8,Null
80,38,117.78465364300583,0.141,0,0.8,Null
80,42,118.34589111901495,0.037,0,0,Null
80,44,118.89593644009513,-0.022,0,0,Null
80,84,119.43413168669198,-0.075,0,0,Null
80,86,119.9611958635818,-0.118,0,0,Null
80,88,120.47890786498338,-0.168,0,0,row_37
80,92,120.98983718368626,-0.269,0,0,row_37
80,89,121.49711686267935,-0.324,0,0,row_37
80,96,122.00425386134769,-0.372,0,0,row_37
80,98,122.51497248078583,-0.418,0,0,row_37
80,99,123.03308685399475,-0.462,0,0,row_37
80,101,123.5623988123624,-0.503,0,0,row_37
80,104,124.1066177220975,-0.594,0.15,0,Null
80,103,124.66929915976962,-0.583,0.1,0.15,Null
80,106,125.2537995713755,-0.67,0.35,0.1,Null
80,106,125.86324433496601,-0.656,0.35,0.35,Null
80,106,126.50025915461424,-0.696,0.35,0.35,Null
80,106,127.1670999089927,-0.678,0.35,0.35,Null
